station_id,name
7524,Lisgar Park
7526,Bartlett Parkette
7527,Joseph J Piccininni Community Centre
7528,Spadina Rd / Austin Terrace
7529,Symington Ave / Davenport Rd
7530,Sherbourne St N / Elm Ave
7531,541 Huron St - SMART
7533,Housey St / Dan Leckie Way
7534,Walnut Ave / Queen St W
7536,Palmerston Ave / Dundas St W
7537,Euclid Ave / Herrick St - SMART
7538,Vaughan Rd /Wychwood Ave
7539,Davisville Ave / Pailton Cres
7540,Alvin Ave / St. Clair Ave E
7541,Bellwoods Ave / Treford Pl - SMART
7542,Queen St W / John St
7543,Nassau St / Bellevue Ave
7545,Baldwin St / Henry St
7546,Ross St / Cecil St - SMART
7547,Orde St / McCaul St
7548,St. Joseph St / Bay St - SMART
7549,439 Sherbourne St
7551,The Esplanade / Hahn Pl
7552,Lake Shore Blvd W / Thirty Ninth Street
7553,Lake Shore Blvd W / Twenty Fourth St
7554,Humber College (Lakeshore Campus)
7555,Royal York Rd / Mimico Ave
7556,Windsor St / Newcastle St
7557,The Queensway / High St
7558,Berry Rd / Bell Manor Dr
7559,Swansea Community Centre
7561,Annette St / Jane St
7562,Priscilla Ave / Dundas St W
7563,St. Clair Ave W / Castleton Ave
7564,Durie St / Dundas St W
7565,St. Clair Ave W / Gunns Rd
7566,Weston Rd / St. Clair Ave W
7567,Weston Lions Park
7568,Jameson Ave / Queen St W
7569,Toronto Inukshuk Park
7570,Carlaw Ave / Dundas St E
7571,Highfield Rd / Gerrard St E
7572,Cosburn Ave / Durant Ave
7575,Bayview Ave / Lawren Harris Square
7576,Front St E / Bayview Avenue
7577,Oak St / Sumach St
7579,Glebe Rd W / Yonge St
7580,Hillsdale Ave W / Yonge St
7581,High Park Ave / Dundas St W
7582,Alameda Ave / Vaughan Rd - SMART
7583,Eglinton Ave W / Scarlett Rd
7584,The Pond Rd / Sentinel Rd
7585,Sentinel Rd / Finch Corridor Trail
7586,Finch West Subway Station
7587,Dufferin St / Finch Corridor Trail
7588,G Ross Lord Park
7589,Torresdale Ave / Antibes Dr
7590,Esther Shiner Stadium
7591,Elwood Blvd / Avenue Rd
7593,Roehampton Ave / Bayview Ave
7594,Fleming Cres / Bayview Ave
7595,Moore Park
7596,Langford Ave / Danforth Ave - SMART
7597,Yonge St / Golfdale Rd
7598,Teddington Park Ave
7599,Richmond St W / York St
7600,Ursula Franklin St / Huron St - SMART
7601,Brick Works
7602,Woodbine Ave / O'Connor Dr
7603,O'Connor Dr / Curity Ave
7604,St. Columba Pl / St. Clair Ave E
7605,Lumsden Ave / Eastdale Ave
7606,Dawes Rd / Taylor Creek Trl
7607,Fairmount Park
7608,Wilket Creek Park
7609,Sunnybrook Park
7610,Kingston Rd / Beech Ave
7611,Victoria Park Ave / Danforth Ave
7612,Livingston Rd / Guildwood Pkwy
7613,Livingston Rd (Highland Creek Trail)
7614,Morningside Park (Highland Creek Trail)
7615,Colonel Danforth Park
7616,Waterfront Trail (Rouge Hill)
7617,Starspray Blvd / Lawrence Ave E
7618,Vaughan Rd / Oakwood Ave
7619,Braemar Ave / Eglinton Ave W
7620,Eglinton Ave E / Redpath Ave
7622,Marie Curtis Park
7623,Royal York Rd / Lake Shore Blvd W
7624,Guildwood GO Station (South)
7625,Yonge St / Lawrence Ave E
7626,Rouge Hill GO Station
7627,Shaw St / Essex St - SMART
7629,Lundy Ave / _tienne Br_l_ Park
7630,Twelfth St / Thirteenth St
7631,Florence Gell Park
7632,Chiltern Hill Rd / Eglinton Ave W
7633,Noble St / Queen St W
7635,Runnymede Rd / Annette St
7636,Bloor St W / Riverside Dr
7637,Judson St / Royal York Rd
7638,Warehouse EBS-Station
7639,135 Queens Wharf Rd - SMART
7640,Spadina Rd / St. Clair Ave W
7641,Annette St / Dundas St W
7642,Yonge St / St. Clair Ave
7643,Oriole Pkwy / Kilbarry Rd
7644,East Lynn Ave / Danforth Ave
7645,University of Toronto Scarborough
7646,University Ave / Richmond St W
7647,Elm St/ University Ave (East Side)
7650,St. Clair West Subway Station - Heath St. W
7653,Bloor St W / Indian Rd
7654,Bloor St W / Pacific Ave
7655,Danforth Ave / Dewhurst Blvd
7656,Bloor St W / Brock Ave
7657,1 Market St
7658,King's Mill Park
7659,Amroth Ave / Danforth Ave
7660,285 Victoria St
7662,Beaty Ave / Queen St W
7663,Kilgour Rd / Rumsey Rd
7664,Sunnybrook Health Centre - L Wing
7665,Sunnybrook Health Centre - S Wing
7666,Dundas St W / St Helen's Ave - SMART
7667,Spadina Ave / Sussex Ave
7668,Simcoe St / Dundas St W
7670,Yonge St / Woburn Ave - SMART
7671,Yonge St / Montgomery Ave - SMART
7675,1525 Dundas St W
7676,York University (Glendon Campus) - SMART
7677,1303 Yonge St - SMART
7678,York University Station (South) - SMART
7679,York University Station (North)
7680,Princes' Blvd / Nunavut Rd
7681,25 Booth Ave
7682,Bathurst St / Front St W
7684,Bay St / Harbour St
7685,King St W / Brant St
7686,Lower Jarvis St / The Esplanade
7687,Bloor St W / Gladstone Ave - SMART
7688,High Park Blvd / Parkside Dr
7689,20 Eaton Ave
7690,Bike Shop Test Station
7691,Christie St / Dupont St
7692,85 Lee Ave
7693,Mutual St / Shuter St
7694,Victoria Park Ave / Dawes Rd
7695,Queen St E / Joseph Duggan Rd
7696,Heyworth Cres / Kingston Rd
7698,St. Clair Ave W / Caledonia Rd
7699,St Clair Ave W / Oakwood Ave
7700,St. Clair Ave W / Robina Ave
7701,Roncesvalles Ave / Fermanagh Ave
7702,111 Broadview Ave
7703,Oak St / Sackville St
7704,24 Mountjoy Ave
7705,Colgate Ave / Carlaw Ave
7706,Felstead Ave/Gillard Ave (Monarch Park)
7707,Coronation Park (Martin Goodman Trail)
7708,101 Cedarvale Ave
7709,Beltline Trail / Yonge St
7710,11 Spadina Rd
7711,Havelock St / Dewson St
7712,Queen St W / Shaw St
7713,Temperance St / Bay St
7715,Lumsden Ave / Cedarvale Ave
7716,Church St / The Esplanade
7717,Niagara St / Portland St
7718,St. Andrew's Playground Park
7719,Wolseley St / Augusta Ave
7720,King St W / Portland St - SMART
7721,Widmer St / King St W
7724,Wellesley St E / Parliament St
7725,Yonge St / Macpherson Ave
7728,Randolph Ave / Perth Ave
7729,265 Armadale Ave
7730,800 Fleet St (South)
7731,Victoria Park Ave / Kingston Rd
7732,Kingston Rd / Warden Ave
7733,Pharmacy Ave / Danforth Ave
7734,Danforth Ave / Warden Ave
7735,Birchcliff Ave / Kingston Rd
7736,Birchmount Rd / Kingston Rd
7737,Kingston Rd / Glen Everest Rd
7738,Highview Ave / Kennedy Rd
7739,Kingston Rd / Ridgemoor Ave
7740,Sharpe St / Park St (Sandown Park)
7741,Howard Park Ave / Parkside Dr
7742,Eglinton Ave W / Prospect Cemetery
7743,Eglinton Ave W / Gilbert Ave
7744,Rogers Rd / Prospect Cemetery
7745,Bert Robinson Park
7746,Marlee Ave / York Beltline Trail
7747,Eglinton Ave W / Ennerdale Rd
7748,Bloor St W / Old Mill Trl
7749,Wendover Rd / Bloor St W (Green P)
7750,Luttrell Ave / Danforth Ave
7751,Willingdon Blvd / Bloor St W (Green P)
7752,1926 Lake Shore Blvd W
7753,36 Park Lawn Rd
7754,Walter Saunders Park
7755,Park Lawn Rd / Berry Rd
7756,Tobermory Dr / Finch Corridor Trail
7757,The Well
7758,Driftwood Ave / Finch Corridor Trail
7759,The Pond Rd / Shoreham Dr
7760,Grand Avenue Park
7761,Moss Park
7762,College St / Henry St
7765,St. John's Rd / Dundas St W
7766,Albany Ave / Bloor St W
7767,Pioneer Village Subway Station
7768,Armoury St / Chestnut St
7769,Lake Shore Blvd W / Brow Dr
7770,Spadina Ave / Sullivan St
7771,St. Clair Ave W / Osler St
7772,Simcoe St / King St W
7773,Grenoble Dr / Gateway Blvd
7774,Grenoble Dr / Deauville Ln
7775,Grenoble Dr / Vendome Pl
